profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
Raza Ahmad,no,123,20,2016,12th International Workshop on Theory and Practice of Proven,https://scholar.google.com/citations?user=ObHZuPMAAAAJ&hl=en
Allison Tirres,no,122,105,1999,"Jotwell: J. Things We Like, 1",https://scholar.google.com/citations?user=IjDZiGYAAAAJ&hl=en
Jennifer Vander Loop,no,122,15,2023,arXiv preprint arXiv:2301.05128,https://scholar.google.com/citations?user=0aZpr-cAAAAJ&hl=en
Joseph Trendowski,no,121,24,1959,"Academy of Management Review 33 (4), 1026-1028",https://scholar.google.com/citations?user=IBACv4EAAAAJ&hl=en
Samuel G. Tetteh,no,117,16,2024,"Asian Journal of Research in Computer Science 17 (5), 10-18",https://scholar.google.com/citations?user=3dnA9Y4AAAAJ&hl=en
Ben Lenard,no,116,25,2018,International Conference on Database and Expert Systems Appl,https://scholar.google.com/citations?user=-bGOnMIAAAAJ&hl=en
Todd Bottom,no,116,10,2009,Journal of prevention & intervention in the community 41 (1),https://scholar.google.com/citations?user=2qcqn8IAAAAJ&hl=en
"Leodis Scott, Ed.D.",no,111,46,2010,American Association for Adult and Continuing Education (AAA,https://scholar.google.com/citations?user=ChEnnYcAAAAJ&hl=en
Jordan Stalker,no,107,6,2010,"Journal of Communication 60 (2), 388-411",https://scholar.google.com/citations?user=NJG5n2YAAAAJ&hl=en
Advait Patel,no,105,28,2016,2025 8th International Conference on Information and Compute,https://scholar.google.com/citations?user=WaPHbVAAAAAJ&hl=en
Kun Lin,no,105,9,2019,arXiv preprint arXiv:1909.06362,https://scholar.google.com/citations?user=y0xgZ4gAAAAJ&hl=en
Mirtha Lucas,no,99,13,2020,2020 IEEE 20th international conference on bioinformatics an,https://scholar.google.com/citations?user=y7duTcUAAAAJ&hl=en
Heather Jagman,no,97,22,2002,LOEX Annual Conference,https://scholar.google.com/citations?user=xy_NBcMAAAAJ&hl=en
